,Cluster 1,Cluster 2
Reference cluster 1,"(0.0, 0.0, 0.0)","(0.03, 1.0, 0.05825242718446545)"
Reference cluster 2,"(0.0, 0.0, 0.0)","(0.03, 1.0, 0.05825242718446545)"
Reference cluster 3,"(0.15384615384615385, 0.5, 0.23529411764705524)","(0.02, 0.5, 0.03846153846153772)"
Reference cluster 4,"(0.0, 0.0, 0.0)","(0.07, 1.0, 0.1308411214953259)"
Reference cluster 5,"(0.0, 0.0, 0.0)","(0.03, 1.0, 0.05825242718446545)"
Reference cluster 6,"(0.15384615384615385, 0.16666666666666666, 0.159999999999995)","(0.1, 0.8333333333333334, 0.1785714285714267)"
Reference cluster 7,"(0.0, 0.0, 0.0)","(0.04, 1.0, 0.07692307692307618)"
Reference cluster 8,"(0.0, 0.0, 0.0)","(0.04, 1.0, 0.07692307692307618)"
Reference cluster 9,"(0.07692307692307693, 0.14285714285714285, 0.09999999999999547)","(0.06, 0.8571428571428571, 0.11214953271027915)"
Reference cluster 10,"(0.0, 0.0, 0.0)","(0.06, 1.0, 0.11320754716981024)"
Reference cluster 11,"(0.0, 0.0, 0.0)","(0.07, 1.0, 0.1308411214953259)"
Reference cluster 12,"(0.0, 0.0, 0.0)","(0.06, 1.0, 0.11320754716981024)"
Reference cluster 13,"(0.07692307692307693, 0.2, 0.11111111111110711)","(0.04, 0.8, 0.07619047619047528)"
Reference cluster 14,"(0.23076923076923078, 0.3, 0.2608695652173864)","(0.07, 0.7, 0.12727272727272562)"
