,Cluster 1
Reference cluster 1,"(0.02654867256637168, 1.0, 0.051724137931033976)"
Reference cluster 2,"(0.02654867256637168, 1.0, 0.051724137931033976)"
Reference cluster 3,"(0.035398230088495575, 1.0, 0.06837606837606772)"
Reference cluster 4,"(0.061946902654867256, 1.0, 0.11666666666666556)"
Reference cluster 5,"(0.02654867256637168, 1.0, 0.051724137931033976)"
Reference cluster 6,"(0.10619469026548672, 1.0, 0.19199999999999828)"
Reference cluster 7,"(0.035398230088495575, 1.0, 0.06837606837606772)"
Reference cluster 8,"(0.035398230088495575, 1.0, 0.06837606837606772)"
Reference cluster 9,"(0.061946902654867256, 1.0, 0.11666666666666556)"
Reference cluster 10,"(0.05309734513274336, 1.0, 0.10084033613445281)"
Reference cluster 11,"(0.061946902654867256, 1.0, 0.11666666666666556)"
Reference cluster 12,"(0.05309734513274336, 1.0, 0.10084033613445281)"
Reference cluster 13,"(0.04424778761061947, 1.0, 0.08474576271186358)"
Reference cluster 14,"(0.08849557522123894, 1.0, 0.1626016260162587)"
